kausi;lohko;nimi;O;M;S;P;J;VM;YV;AV;RL-;RL+;SR;TV;H;TM;IM
2024-2025;III-DIV - LR LOHKO A;Aaltonen, Mika;21;14;4;18;1;1;2;0;0;0;0;0;1;1;0
2024-2025;III-DIV - LR LOHKO A;Ahven, Mika;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-2025;III-DIV - LR LOHKO A;Halme, Vesa;19;2;5;7;4;0;0;0;0;0;0;0;0;0;1
2024-2025;III-DIV - LR LOHKO A;Höykinpuro, Jesse;5;1;1;2;1;1;1;0;0;0;0;0;0;0;0
2024-2025;III-DIV - LR LOHKO A;Kananen, Henri;22;1;3;4;2;0;0;0;0;0;0;0;0;0;0
2024-2025;III-DIV - LR LOHKO A;Kiilunen, Juha;17;3;1;4;0;0;0;0;0;0;0;0;0;0;0
2024-2025;III-DIV - LR LOHKO A;Laaksonen, Jimi;22;1;1;2;5;0;0;0;0;0;0;0;0;0;0
2024-2025;III-DIV - LR LOHKO A;Laine, Jukka-Pekka;13;5;2;7;0;1;0;0;0;0;0;0;0;0;0
2024-2025;III-DIV - LR LOHKO A;Nissi, Juho;14;13;2;15;0;0;0;0;0;0;0;0;2;0;0
2024-2025;III-DIV - LR LOHKO A;Nykänen, Akseli;20;7;5;12;3;1;0;0;0;0;0;0;0;0;0
2024-2025;III-DIV - LR LOHKO A;Nynäs, Niko;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-2025;III-DIV - LR LOHKO A;Mäenranta, Ville;21;2;9;11;0;0;0;0;0;0;0;0;0;0;0
2024-2025;III-DIV - LR LOHKO A;Oja-Nisula, Miika;21;5;10;15;0;2;0;0;0;0;0;0;0;0;0
2024-2025;III-DIV - LR LOHKO A;Pentti, Joonas;19;16;5;21;4;2;1;0;0;0;1;0;2;1;0
2024-2025;III-DIV - LR LOHKO A;Rannikko, Tomi;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-2025;III-DIV - LR LOHKO A;Saarinen, Veikka;21;6;7;13;4;0;0;1;1;0;0;0;0;0;0
2024-2025;III-DIV - LR LOHKO A;Tuokko, Aleksi;19;3;11;14;2;0;0;0;0;0;1;0;0;0;0
2024-2025;III-DIV - LR LOHKO A;Vainio, Joni;18;4;0;4;2;0;0;0;0;0;0;0;0;0;0
2024-2025;III-DIV - LR LOHKO A;Vehviläinen, Olli-Pekka;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-2025;III-DIV - LR LOHKO A;Vikman, Petri;22;8;10;18;0;1;0;0;1;0;0;0;0;0;0
2024-2025;III-DIV - LR LOHKO A;Vilmunen, Henri;6;0;3;3;0;0;0;0;0;0;0;0;0;0;0
2024-2025;III-DIV - LR LOHKO A;Virta, Matias;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 2023-2024;IV-DIV - LR LOHKO A;Niko Nynäs;17;1;4;5;1;0;0;0;0;0;0;0;0;0;0
 2023-2024;IV-DIV - LR LOHKO A;Mika Ahven;20;0;2;2;1;0;0;0;0;0;0;0;0;0;0
 2023-2024;IV-DIV - LR LOHKO A;Olli-Pekka Vehviläinen;20;3;3;6;0;1;0;0;0;0;0;0;0;1;0
 2023-2024;IV-DIV - LR LOHKO A;Joni Vainio;18;6;3;9;0;1;0;0;0;0;0;0;0;0;0
 2023-2024;IV-DIV - LR LOHKO A;Akseli Nykänen;18;4;12;16;1;1;0;0;0;0;0;0;0;0;0
 2023-2024;IV-DIV - LR LOHKO A;Matias Virta;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 2023-2024;IV-DIV - LR LOHKO A;Mika Aaltonen;20;22;8;30;0;3;0;0;0;0;0;0;3;0;0
 2023-2024;IV-DIV - LR LOHKO A;Veikka Saarinen;12;15;4;19;0;1;0;0;0;0;1;1;2;0;0
 2023-2024;IV-DIV - LR LOHKO A;Petri Vikman;18;7;17;24;2;1;0;0;0;0;0;0;0;0;0
 2023-2024;IV-DIV - LR LOHKO A;Ville Mäenranta;20;5;4;9;5;2;0;0;0;0;0;0;0;0;0
 2023-2024;IV-DIV - LR LOHKO A;Henri Kananen;20;1;4;5;1;0;0;0;0;0;0;0;0;0;0
 2023-2024;IV-DIV - LR LOHKO A;Jesse Höykinpuro;14;2;2;4;2;0;0;0;0;0;0;0;0;0;0
 2023-2024;IV-DIV - LR LOHKO A;Miika Oja-Nisula;18;10;15;25;2;0;1;1;0;0;0;0;0;1;0
 2023-2024;IV-DIV - LR LOHKO A;Juha Kiilunen;15;6;3;9;0;2;0;0;0;0;0;0;0;0;0
 2023-2024;IV-DIV - LR LOHKO A;Jimi Laaksonen;20;4;2;6;3;0;0;0;0;0;0;0;0;0;0
 2023-2024;IV-DIV - LR LOHKO A;Aleksi Tuokko;19;6;9;15;3;0;0;0;0;0;0;0;0;0;0
 2023-2024;IV-DIV - LR LOHKO A;Joonas Pentti;18;17;4;21;4;2;0;0;0;0;0;0;1;0;0
2023-2024;III-DIV - Karsinnat;Niko Nynäs;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0
2023-2024;III-DIV - Karsinnat;Olli-Pekka Vehviläinen;4;1;0;1;1;1;0;0;0;0;0;0;0;0;0
2023-2024;III-DIV - Karsinnat;Joni Vainio;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-2024;III-DIV - Karsinnat;Akseli Nykänen;4;5;1;6;0;0;0;0;0;0;0;0;1;0;0
2023-2024;III-DIV - Karsinnat;Matias Virta;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-2024;III-DIV - Karsinnat;Mika Aaltonen;4;5;2;7;0;0;0;0;0;0;0;0;1;0;0
2023-2024;III-DIV - Karsinnat;Veikka Saarinen;4;1;1;2;0;0;0;0;0;0;0;0;0;0;0
2023-2024;III-DIV - Karsinnat;Petri Vikman;4;1;1;2;0;1;0;0;0;0;0;0;0;0;0
2023-2024;III-DIV - Karsinnat;Ville Mäenranta;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-2024;III-DIV - Karsinnat;Henri Kananen;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2023-2024;III-DIV - Karsinnat;Jesse Höykinpuro;3;0;3;3;1;0;0;0;0;0;0;0;0;0;0
2023-2024;III-DIV - Karsinnat;Miika Oja-Nisula;3;2;3;5;0;0;1;0;0;0;0;0;0;0;0
2023-2024;III-DIV - Karsinnat;Juha Kiilunen;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0
2023-2024;III-DIV - Karsinnat;Jimi Laaksonen;4;1;1;2;1;0;0;0;0;0;0;0;0;0;0
2023-2024;III-DIV - Karsinnat;Aleksi Tuokko;4;1;2;3;1;0;0;0;0;0;0;0;0;0;0
2023-2024;III-DIV - Karsinnat;Joonas Pentti;4;6;3;9;0;1;0;1;0;1;0;0;0;0;0
2023-2024;IV-DIV + KARS;Niko Nynäs;21;2;4;6;1;0;0;0;0;0;0;0;0;0;0
2023-2024;IV-DIV + KARS;Olli-Pekka Vehviläinen;24;4;3;7;1;2;0;0;0;0;0;0;0;1;0
2023-2024;IV-DIV + KARS;Joni Vainio;21;6;3;9;0;1;0;0;0;0;0;0;0;0;0
2023-2024;IV-DIV + KARS;Akseli Nykänen;22;9;13;22;1;1;0;0;0;0;0;0;1;0;0
2023-2024;IV-DIV + KARS;Matias Virta;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-2024;IV-DIV + KARS;Mika Aaltonen;24;27;10;37;0;3;0;0;0;0;0;0;4;0;0
2023-2024;IV-DIV + KARS;Veikka Saarinen;16;16;5;21;0;1;0;0;0;0;1;1;2;0;0
2023-2024;IV-DIV + KARS;Petri Vikman;22;8;18;26;2;2;0;0;0;0;0;0;0;0;0
2023-2024;IV-DIV + KARS;Ville Mäenranta;24;5;4;9;5;2;0;0;0;0;0;0;0;0;0
2023-2024;IV-DIV + KARS;Henri Kananen;24;1;5;6;1;0;0;0;0;0;0;0;0;0;0
2023-2024;IV-DIV + KARS;Jesse Höykinpuro;17;2;5;7;3;0;0;0;0;0;0;0;0;0;0
2023-2024;IV-DIV + KARS;Miika Oja-Nisula;21;12;18;30;2;0;2;1;0;0;0;0;0;1;0
2023-2024;IV-DIV + KARS;Juha Kiilunen;19;6;5;11;0;2;0;0;0;0;0;0;0;0;0
2023-2024;IV-DIV + KARS;Jimi Laaksonen;24;5;3;8;4;0;0;0;0;0;0;0;0;0;0
2023-2024;IV-DIV + KARS;Aleksi Tuokko;23;7;11;18;4;0;0;0;0;0;0;0;0;0;0
2023-2024;IV-DIV + KARS;Joonas Pentti;22;23;7;30;4;3;0;1;0;1;0;0;1;0;0
2022-2023;IV-DIV - LR LOHKO 10;Mika Aaltonen;22;20;14;34;4;3;4;;1;;;1;;;
2022-2023;IV-DIV - LR LOHKO 10;Joni Vainio;24;17;9;26;6;1;;;;;;;;;
2022-2023;IV-DIV - LR LOHKO 10;Petri Vikman;22;16;7;23;2;;1;;2;;;1;;;
2022-2023;IV-DIV - LR LOHKO 10;Akseli Nykänen;18;8;15;23;4;2;;;;1;;;;;
2022-2023;IV-DIV - LR LOHKO 10;Miika Oja-Nisula;20;9;10;19;4;1;;;;;;1;;;
2022-2023;IV-DIV - LR LOHKO 10;Marcus Savela;22;11;7;18;6;2;1;;;;;1;;1;
2022-2023;IV-DIV - LR LOHKO 10;Juha-Pekka Kiilunen;18;3;10;13;;;1;;;;;;;;
2022-2023;IV-DIV - LR LOHKO 10;Henri Kananen;20;1;10;11;2;;;;;;;;;;
2022-2023;IV-DIV - LR LOHKO 10;Veikka Saarinen;14;5;5;10;6;;;;;;;;;;
2022-2023;IV-DIV - LR LOHKO 10;Mika Ahven;22;2;7;9;;1;;;;;;;;;
2022-2023;IV-DIV - LR LOHKO 10;Jesse Höykinpuro;22;7;1;8;4;;1;;1;;;1;;;
2022-2023;IV-DIV - LR LOHKO 10;Jimi Laaksonen;20;4;1;5;6;;;;;;;;;;
2022-2023;IV-DIV - LR LOHKO 10;Ville Koivisto;14;3;2;5;;;;;;;;;;;
2022-2023;IV-DIV - LR LOHKO 10;Jasse Santavuori;3;1;0;1;;;;;;;;;;;
2022-2023;IV-DIV - LR LOHKO 10;Ville Mäenranta;10;1;0;1;8;;;;;;;;;;
2022-2023;IV-DIV - LR LOHKO 10;Jussi Uusi-Mikkola;6;0;0;0;;;;;;;;;;;
2021-2022;III-DIV - LR LOHKO 5;Kaj-Kristian Engblom;18;11;26;37;4;;;1;;;;;;;
2021-2022;III-DIV - LR LOHKO 5;Akseli Nykänen;16;12;10;22;4;1;;1;;;;1;;;
2021-2022;III-DIV - LR LOHKO 5;Mika Aaltonen;18;11;6;17;6;2;;1;;;;;;;
2021-2022;III-DIV - LR LOHKO 5;Veikka Saarinen;18;9;5;14;4;;;;;;;;;;
2021-2022;III-DIV - LR LOHKO 5;Jarno Peltola;18;7;5;12;27;1;;;;;;;;;
2021-2022;III-DIV - LR LOHKO 5;Miika Oja-Nisula;18;6;6;12;;1;1;;;;;;1;;
2021-2022;III-DIV - LR LOHKO 5;Joni Vainio;14;5;4;9;2;;;;;;;;;;
2021-2022;III-DIV - LR LOHKO 5;Jasse Santavuori;9;2;3;5;;;;;;;;;;;
2021-2022;III-DIV - LR LOHKO 5;Mauri Kurri;12;4;0;4;4;;;;;;;;;;
2021-2022;III-DIV - LR LOHKO 5;Pedar Järvensivu;6;4;0;4;2;;;;;;;;;;
2021-2022;III-DIV - LR LOHKO 5;Rami Takala;4;1;2;3;;;;;1;;;;;;
2021-2022;III-DIV - LR LOHKO 5;Mikko Hongisto;4;2;0;2;;;1;1;;;;;;;
2021-2022;III-DIV - LR LOHKO 5;Jesse Höykinpuro;14;0;2;2;8;;;;;;;;;;
2021-2022;III-DIV - LR LOHKO 5;Petri Vikman;4;0;2;2;;;;;;;;;;;
